Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer,BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Offers,Import_type,Attribute5,Class_of_cloth,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc
512680,512680,512680,512680,1.0,2437.725566423214,2259.0,1663.0,6.0,95.0,0.0,0.0,0.0,0.0,1849.731243623915,0.0,6,SL1C-030218-00097,2018-02-03,Yes,Returning_Costumer,No information,2018-02,No,1-KARACHI,TCS LUCKY ONE - CAMBRIDGE,CAMBRIDGE ,PRINCIPLE SHIRT ,B10509,No,EID AL ADHA 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Premium,Local,BLACK,15½,No Discount,No information available,F/S PRINCIPLE POPLIN LUXE MILANO
62899,62899,62899,62899,1.0,2186.0,2186.0,2186.0,5.0,109.0,0.0,0.0,0.0,0.0,2295.0,0.0,6,SDMH-260616-00015,2016-06-26,Yes,NoN_Returning_Costumer,No information,2016-06,No,1-KARACHI,TCS Dolmen Mall -Hyderi,CAMBRIDGE ,EXECUTIVE ,B9859,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,LARGE,No Discount,No information available,H/S EXECUTIVE
301706,301706,301706,301706,1.0,2437.725566423214,2259.0,1663.0,5.0,99.86487176196346,0.0,0.0,0.0,0.0,1849.731243623915,0.0,6,SSNY-050417-00007,2017-04-05,Yes,Returning_Costumer,No information,2017-04,No,3-NORTH ,SANA STYLE ,CAMBRIDGE ,PRINCIPLE SHIRT ,B10244,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,BLUE,15,No Discount,No information available,F/S PRINCIPLE CLASSIC YARN DYED
263752,263752,263752,263752,1.0,2437.725566423214,2259.0,1663.0,5.0,95.0,0.0,0.0,0.0,0.0,1849.731243623915,0.0,6,SPT2-270117-00003,2017-01-27,Yes,Returning_Costumer,No information,2017-01,No,1-KARACHI,TCS Park Tower - 2,CAMBRIDGE ,PRINCIPLE SHIRT ,B10149,No,WINTER 2016-2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Premium,Local,BLUE,16½  ,No Discount,No information available,F/S PRINCIPLE PLAIN    
79140,79140,79140,79140,1.0,1805.0,1805.0,1805.0,5.0,90.0,0.0,0.0,0.0,0.0,1895.0,0.0,6,SPT2-050616-00019,2016-06-05,Yes,Returning_Costumer,No information,2016-06,No,1-KARACHI,TCS Park Tower - 2,CAMBRIDGE ,LUXER,B-178,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Regular,Local,WHITE,15½  ,No Discount,No information available,F/S LUXER PLAIN WCB 
31663,31663,31663,31663,1.0,2437.725566423214,2259.0,1663.0,5.0,99.86487176196346,0.0,0.0,0.0,0.0,1849.731243623915,0.0,6,SPEB-030116-00025,2016-01-03,Yes,Returning_Costumer,No information,2016-01,No,1-KARACHI,TCS BAHADURABAD ,CAMBRIDGE ,PRINCIPLE SHIRT ,B7916,No,SUMMER 2015,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Regular,Local,GREEN,15½  ,No Discount,No information available,F/S PRINCIPLE CLASSIC YARN DYED
286168,286168,286168,286168,1.0,2376.0,2376.0,2020.0,5.0,101.0,0.0,0.0,15.0,356.0,2121.0,0.0,6,SGLX-180617-00018,2017-06-18,Yes,Returning_Costumer,No information,2017-06,No,4-CENTRAL PUNJAB ,GALAXY PLUS,CAMBRIDGE ,EXECUTIVE ,B13200,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,16,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
161960,161960,161960,161960,1.0,2437.725566423214,2259.0,1663.0,5.0,95.0,0.0,0.0,0.0,0.0,1849.731243623915,0.0,6,SDLC-271016-00014,2016-10-27,Yes,Returning_Costumer,EX,2016-10,No,1-KARACHI,TCS DOLMEN CITY ,CAMBRIDGE ,PRINCIPLE SHIRT ,B10131,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Regular,Local,WHITE,16,No Discount,No information available,F/S PRINCIPLE CLASSIC YARN DYED
93289,93289,93289,93289,1.0,1710.0,2172.610560184532,1710.0,5.0,86.0,0.0,0.0,0.0,0.0,1796.0,0.0,6,SSKT-130516-00001,2016-05-13,Yes,Returning_Costumer,No information,2016-05,No,4-CENTRAL PUNJAB ,TCS Sialkot Cantt,CAMBRIDGE ,PORT FOLIO SHIRT ,B6528,No,SUMMER 2016,No Stock,No Offer,PAKISTAN ,A,Regular,Local,RED,16½  ,No Discount,No information available,F/S PORT FOLIO SHIRT YARN DYED
245406,245406,245406,245406,1.0,2090.0,2090.0,1664.6489680782015,5.0,93.11390407638716,0.0,0.0,50.0,1045.0,1097.0,0.0,6,SPEG-260217-00026,2017-02-26,Yes,Returning_Costumer,No information,2017-02,No,1-KARACHI,TCS GULSHAN,LICENSE ,LICENSE FULL SLEEVE ,B5462,No,SUMMER 2016,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,A,No information,Local,RED,X-LAR,No Discount,No information available,F/S LICENSE                  
583042,583042,583042,583042,1.0,2071.0,2071.0,1664.6489680782015,6.0,62.0,0.0,0.0,50.0,1036.0,1097.0,0.0,6,SPEG-090218-00051,2018-02-09,Yes,Returning_Costumer,No information,2018-02,No,1-KARACHI,TCS GULSHAN,LICENSE ,LICENSE HALF SLEEVE ,B5610,No,SUMMER 2017,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,No information,No information,Local,WHITE,SML  ,No Discount,No information available,LICENSE H/S              
235042,235042,235042,235042,1.0,1710.0,2172.610560184532,1368.0,5.0,68.0,0.0,0.0,20.0,342.0,1436.0,0.0,6,SGLX-250317-00013,2017-03-25,Yes,Returning_Costumer,No information,2017-03,No,4-CENTRAL PUNJAB ,GALAXY PLUS,CAMBRIDGE ,PORT FOLIO SHIRT ,B7991,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,WHITE,16,No Discount,No information available,F/S PORT FOLIO SHIRT YARN DYED
202183,202183,202183,202183,1.0,2437.725566423214,2259.0,1664.6489680782015,6.0,95.0,0.0,0.0,0.0,0.0,947.0,0.0,6,SA5W-290317-00006,2017-03-29,Yes,Returning_Costumer,fresh mens shirts,2017-03,Yes,5-WAREHOUSES,A-5 LOOSE WAREHOUSE ,LICENSE ,LICENSE FULL SLEEVE ,B5172,Yes,SUMMER 2013,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,A,No information,Local,RED,MIX,No Discount,No information available,OVERDYE F/S 
587952,587952,587952,587952,1.0,2289.0,2289.0,1602.0,6.0,99.86487176196346,0.0,0.0,30.0,687.0,1746.0,0.0,6,SDLC-110818-00278,2018-08-11,Yes,Returning_Costumer,No information,2018-08,No,1-KARACHI,TCS DOLMEN CITY ,CAMBRIDGE ,EXECUTIVE ,B13422,No,SUMMER 2018,Summer Sale ,Modern fit,PAKISTAN ,No information,Regular,Local,RED,15½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
606785,606785,606785,606785,1.0,2354.0,2354.0,1648.0,6.0,99.0,0.0,0.0,30.0,706.0,1747.0,0.0,9,SDMT-040918-00163,2018-09-04,Yes,Returning_Costumer,No information,2018-09,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,CAMBRIDGE ,EXECUTIVE ,B13473,No,EID FESTIVAL 2018,Summer Sale ,No Offer,PAKISTAN ,B,Regular,Local,RED,16½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
340274,340274,340274,340274,1.0,2437.725566423214,2259.0,1746.9202744290997,5.0,99.86487176196346,0.0,0.0,0.0,0.0,3495.0,0.0,6,SPEG-070717-00014,2017-07-07,Yes,Returning_Costumer,No information,2017-07,No,1-KARACHI,TCS GULSHAN,CAMBRIDGE ,PRINCIPLE SHIRT ,B10395,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Premium,Local,BLUE,16,No Discount,No information available,F/S PRINCIPLE PLAIN    
243642,243642,243642,243642,1.0,2090.0,2090.0,1664.6489680782015,5.0,93.11390407638716,0.0,0.0,50.0,1045.0,1097.0,0.0,6,SPEB-200217-00025,2017-02-20,Yes,Returning_Costumer,No information,2017-02,No,1-KARACHI,TCS BAHADURABAD ,LICENSE ,LICENSE FULL SLEEVE ,B5460,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,No information,Local,BLUE,MED  ,No Discount,No information available,F/S LICENSE                  
98491,98491,98491,98491,1.0,1805.0,2259.0,1806.0,5.0,90.0,0.0,0.0,50.0,484.0,1896.0,0.0,6,SATR-100916-00029,2016-09-10,Yes,Returning_Costumer,No information,2016-09,No,1-KARACHI,TCS Atrium Mall,CAMBRIDGE ,TOMORROW ,BTC-MIX1,No,WINTER 2016-2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Regular,Local,RED,16½  ,No Discount,No information available,F/S TOMORROW          
188284,188284,188284,188284,1.0,2376.0,2376.0,1663.0,5.0,83.0,0.0,0.0,30.0,713.0,1746.0,0.0,6,SRAJ-311216-00008,2016-12-31,Yes,Returning_Costumer,No information,2016-12,No,2-LAHORE,RAJA SAHIB LINK ROAD,CAMBRIDGE ,EXECUTIVE ,B9998,No,WINTER 2016-2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,16½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
607760,607760,607760,607760,1.0,2354.0,2354.0,1177.0,6.0,71.0,0.0,0.0,50.0,1177.0,1248.0,0.0,9,SDMT-090918-00197,2018-09-09,Yes,NoN_Returning_Costumer,No information,2018-09,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,CAMBRIDGE ,EXECUTIVE ,B13312,No,WINTER 2017 - 2018,Summer Sale ,No Offer,PAKISTAN ,No information,Regular,Local,RED,17,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
